101,11,International Days,International women's day is held every year on,April 5 th,March 8 th,March 6 th,May 5 th,2,International Women's Day is annually held on March 8 to celebrate women's achievements throughout history and across nations.
102,11,International Days,World Earth Day is held every year on,Dec 10 th,Dec 6 th,Apr 6 th,Apr 22 nd,4,"Earth Day is an annual event,celebrated on April 22,on which day events worldwide are held to demonstrate support for environmental protection."
103,11,International Days,World leprosy eradication day is held on,Jun 31 st,Jan 26 th,Jan 30 th,Apr 21 st,3,"World Leprosy Day is observed internationally on 30th January or the Sunday closest to that date. The main purpose of this festival is to increase public awareness of Leprosy,also known as Hansen's disease."
104,11,International Days,When is international health day celebrated?,Feb 2 nd,Apr 7 th,Apr 2 nd,March 5 th,2,"The World Health Day is held to mark WHO's founding,and is seen as an opportunity by the organization to draw worldwide attention to a subject of major importance to global health each year."
105,11,International Days,Each year world red cross and red crescent day is celebrated on,May 8 th,Dec 14 th,May 16 th,Jan 26 th,1,"This date is the anniversary of the birth of Henry Dunant (born 8 May 1828),the founder of International Committee of the Red Cross (ICRC) and the recipient of the first Nobel Peace Prize."
106,11,International Days,When is international olympic day celebrated?,Jun 26 th,Jun 23 rd,Jan 24 th,Feb 24 th,2,Olympic Day was introduced in 1948 to commemorate the birth of the modern Olympic Games on 23 June 1894 at the Sorbonne in Paris.
107,11,International Days,When is World Mosquito Day celebrated?,Aug 20 th,Aug 9 th,July 2 nd,Sep 8 th,1,"On this day in 1897,British scientist Sir Ronald Ross made the breakthrough discovery that malaria is transmitted between humans by the female anopheles mosquito."
108,11,International Days,On what date is world heart day celebrated every year?,Sep 5 th,Aug 19 th,Sep 24 th,Apr 2 nd,3,"World Heart Day,which used to take place every year on the last Sunday in September,is organized by the World Heart Federation. As of 2011,World Heart Day is celebrated every 29 September and no longer on the last Sunday of September"
109,11,International Days,When is international food day celebrated?,Oct 24 th,Oct 16 th,Nov 19 th,May 16 th,2,World Food Day is celebrated every year around the world on 16 October in honor of the date of the founding of the Food and Agriculture Organization of the United Nations in 1945.
110,11,International Days,When is the world aids day celebrated every year?,Dec 1 st,Nov 29 th,Dec 14 th,July 2 nd,1,World AIDS Day is celebrated on 1 December every year to raise awareness about HIV/AIDS and to demonstrate international solidarity in the face of the pandemic.
