1081,109,Fruits,Avocado is the national fruit of which country?,Malaysia,Philippines,Thailand,Mexico,4,"The avocodo is a tree native to Mexico and Central America,classified in the following plant family Lauraceae along with cinnamon,camphor and bay laurel. Avocado or alligator pear also refers to the fruit,botanically a large berry that contains a single seed.",
1082,109,Fruits,Which country is the origin of peach?,United States,China,India,Russia,2,"Chinese silk tapestry of a Taoist immortal holding a peach. Although its botanical name Prunus persica refers to Persia (present Iran) from where it came to Europe,genetic studies suggest peaches originated in China,where they have been cultivated since the early days of Chinese culture,circa 2000 BC.",
1083,109,Fruits,What is the major vitamin present in pineapple?,Vitamin B12,Vitamin C,Vitamin B6,Vitamin K,2,"The pineapple is a tropical plant with edible multiple fruit consisting of coalesced berries,and the most economically significant plant in the Bromeliaceae family.It contains 78 mg of Vitamin C.",
1084,109,Fruits,Among the following which is not a citrous fruit?,Orange,Grapefruit,Apple,Lemon,3,"Citrus is a common term and genus of flowering plants in the rue family,Rutaceae. The most recent research indicates an origin in Australia.",
1085,109,Fruits,Papaya is the main source of?,Vitamin B12,Vitamin A,Vitamin C,Vitamin K,3,"Papaya fruit is a significant source of vitamin C and folate,but otherwise has generally low content of nutrients (right table). Papaya skin,pulp and seeds also contain a variety of phytochemicals,including carotenoids and polyphenols.[",
1086,109,Fruits,Blackcurrant is the main source which vitamin?,Vitamin D,Vitamin A,Vitamin K,Vitamin C,4,"The  blackcurrant  (Ribes nigrum) is a woody shrub  in the family  Grossulariaceae  grown for its  piquant  berries.Per 100 g serving providing 63 calories(table),the fruit has high vitamin C content (218% of the daily value,DV,per 100 g) and good levels of iron and manganese(10-20% DV,table).",
1087,109,Fruits,Pear fruit is used to reduce the risk of,Mouth cancer,Colon cancer,Lung cancer,Bone cancer,2,Pears are a good source of dietary fiber. 100 g fruit provides 3.1 g or 8% of fiber per 100 g. Regular eating of this fruit may offer protection against colon cancer.,
1088,109,Fruits,Which of the following fruit is rich in Vitamin K?,Banana,Apple,Pomegranate,Guava,3,"The pomegranate,botanical name Punica granatum,is a fruit-bearing deciduos shrub or small tree growing between 5 and 8 m tall. A 100-g serving of pomegranate seeds provides 12% of the daily value for vitamin C,16% for Vitamin K and 10% DV for folate.",
1089,109,Fruits,What is the acid present in grapes?,Lactic acid,Tartaric acid,Acetic acid,Maleic acid,2,"In most plants,this organic acid is rare,bur it is found in significant concentrations in grape vines. Along with malic acid,and to a lesser extent citric acid,tartaric acid is one of the fixed acids found in wine grapes.",
1090,109,Fruits,What percentage of water present in watermelon?,92.00%,10.00%,84.00%,55.00%,1,"Each bite of watermelon contains about 92 percent water and 6 percent sugar. Since it consists mostly of water,its name makes perfect sense! Despite being mostly water with a bit of sugar,watermelon is considered a very healthy snack.",
