1151,116,Health,The deficiency of vitamin A causes the disease?,Scurvy,Night blindness,Mucositis,Beriberi,2,Vitamin A deficiency . Vitamin A is an essential vitamin that's found in carrots and yellow or green leafy vegetables. It helps keep the retina-in the back of the eye healthy. Vitamin A deficiency is a rare cause of night blindness in the U.S.
1152,116,Health,The deficiency of Vitamin D causes,Hypocobalaminemia,Ariboflavinosis,Pellagra,Rickets,4,"Vitamin D is essential for strong bones,because it helps the body use calcium from the diet. Traditionally,vitamin D deficiency has been associated with rickets,a disease in which the bone tissue doesn't properly mineralize,leading to soft bones and skeletal deformities."
1153,116,Health,What kind of vitamin deficiency causes scurvy?,Vitamin B12,Vitamin B6,Vitamin C,Vitamin A,3,"Scurvy is a disease caused by a diet that lacks vitamin C (ascorbic acid). Patients develop anemia,debility,exhaustion,edema (swelling) in some parts of the body,and sometimes ulceration of the gums and loss of teeth."
1154,116,Health,What is the heartbeat rate for a normal person?,50-100 beats per minute,80-100 beats per minute,60-100 beats per minute,90-100 beats per minute,3,"For adults 18 and older,a normal resting heart rate is between 60 and 100 beats per minute (bpm),depending on the person's physical condition and age. For children ages 6 to 15,the normal resting heart rate is between 70 and 100 bpm,according to the AHA"
1155,116,Health,What is the vitamin present in retinol?,Vitamin B2,Vitamin K,Vitamin B12,Vitamin A,4,"Retinol is one of the animal forms of vitamin A. It is a diterpenoid and an alcohol. It is convertible to other forms of vitamin A,and the retinyl ester derivative of the alcohol serves as the storage form of the vitamin in animals. When converted to the retinal(retinaldehyde) form,vitamin A is essential for vision,and when converted to retinoic acid is essential for skin health,teeth remineralization and bone growth."
1156,116,Health,Vitamin K is mainly used for,Retinoids,Metabolism,Blood clotting,Digestion,3,"Vitamin K also has important benefits beyond healthy blood clotting. In the 1980s,it was discovered that vitamin K is needed to activate the protein "
1157,116,Health,What is the normal BMI(Body Mass Index) for a woman?,18.5-24.9,25-29.9,18.5-25.9,26-30.9,1,"A BMI of 18.5 to 24.9 (green) is considered healthy. A BMI of 25 to 29.9 (yellow) is considered overweight. A BMI of 30 or higher (red) is considered obese. A person who has a large change in BMI,even if he or she is not overweight or underweight,should be evaluated to find the cause."
1158,116,Health,Which of the following mineral deficiency cause anemia?,Iodine,Iron,Calcium,Cobalt,2,"Slow,chronic blood loss within the body-such as from a peptic ulcer,a hiatal hernia,a colon polyp or colorectal cancer-can cause iron deficiency anemia."
1159,116,Health,How much amount of water in adult men body?,60.00%,55.00%,70.00%,50.00%,1,"By one year of age,that amount drops to about 65%. In adult men,about 60% of their bodies are water. However,fat tissue does not have as much water as lean tissue. In adult women,fat makes up more of the body than men,so they have about 55% of their bodies made of water."
1160,116,Health,Diabetes is caused by deficiency of which hormone?,Melatonin,Insulin,Thyroxine,Steroid,2,"Type 1 diabetes mellitus is characterized by loss of the insulin-producing beta cells of the islets of Langerhans in the pancreas,leading to insulin deficiency."
