111,12,Inventions,Who invented the BALLPOINT PEN?,Biro Brothers,Waterman Brothers,Bicc Brothers,Write Brothers,1,NA,
112,12,Inventions,In which decade was the first solid state integrated circuit demonstrated?,1950s,1960s,1970s,1980s,1,NA,
113,12,Inventions,What J. B. Dunlop invented?,Pneumatic rubber tire,Automobile wheel rim,Rubber boot,Model airplanes,1,NA,
114,12,Inventions,Which scientist discovered the radioactive element radium?,Isaac Newton,Albert Einstein,Benjamin Franklin,Marie Curie,4,NA,
115,12,Inventions,When was barb wire patented?,1874,1840,1895,1900,1,NA,
116,12,Inventions,What is the name of the CalTech seismologist who invented the scale used to measure the magnitude of earthquakes?,Charles Richter,Hiram Walker,Giuseppe Mercalli,Joshua Rumble,1,NA,
117,12,Inventions,What Galileo invented?,Barometer,Pendulum clock,Microscope,Thermometer,4,NA,
118,12,Inventions,"Politican, scholar, inventor  and one of early presidents of USA invented the swivel chair",George Washington,Alexander Hamilton,John Adams,Thomas Jefferson,4,NA,
119,12,Inventions,What James Watt invented?,Diving bell,Steam boat,Hot air balloon,Rotary steam engine,4,NA,
120,12,Inventions,Where is the village of Branston  after which the famous pickle is named?,Yorkshire,Lancashire,Staffordshire,Norfolk,3,NA,
