1121,113,Vegetables,Among the following vegetables which is the anti-cancer agent?,Cabbage,Onion,Potato,Brinjal,2,"Onion (Allium cepa) is being studied as a potential anticancer agent,but little is known regarding its effect in multidrug resistance (MDR) cells. cytotoxicity of crude onion extract (OE) and fractioned extract (aqueous,methanolic and ethyl acetate),as well as some onion compounds (quercetin and propyl disulfide) were evaluated in Lucena MDR human erythroleukemic and its K562 parental cell line."
1122,113,Vegetables,Which country is the largest producer of potatoes?,United States,India,Russia,China,4,"The potato is a starchy,tuberous crop from the perennial nightshade Solanum tuberosum L. The word ""potato"" may refer either to the plant itself or to the edible tuber"
1123,113,Vegetables,Which of the following vegetable is rich in Vitamin A?,Tomato,Potato,Carrot,Mango,3,"Vitamin A: Carrots are rich in beta-carotene,which is converted to vitamin A in the body. Vitamin A promotes good vision,and is important for growth,development,and immune function (15). Biotin: One of the B-vitamins,formerly known as vitamin H."
1124,113,Vegetables,The largest producer of green beans?,India,China,Egypt,Spain,2,"Green beans,also known as string beans,or snap beans in the northeastern and western United States,are the unripe fruit and protective pods of various cultivars of the common bean"
1125,113,Vegitables,Cucumber is considered as a fruit or vegetable?,Vegetable,Fruit,Both,,2,"Cucumber is a widely cultivated plant in the gourd family,Cucurbitaceae. It is a creeping vine that bears cylindrical fruits that bears cylindrical fruits that are used culinary vegetables. There are three main varieties of cucumber: slicing,pickling,and burpless."
1126,113,Vegitables,Which country is the largest producer of carrots?,Japan,United States,Russia,China,4,"China is Carrot production King of the World,the US ranks among the other top nations in the production of carrots: fourth in acreage and volume,third in terms of yield (31.7 tons/ha). Russia,Japan,France and the United Kingdom are also leading producers."
1127,113,Vegitables,Beetroot is good for,Diabetes,Anemia,Arthritis,All of the above,1,"Beetroot is a naturally occurring root vegetable that is commonly found in the temperate and tropical regions. It is also extremely low in calories,specifically 36 calories per 100 gm of beet. Beetroot juice is also similarly replete with health boosting compounds and is ideal for diabetes. Beet root juice has a detoxifying effect on the body."
1128,113,Vegitables,Which of the following vegetables is considered as a leafy vegetables?,Bottle gourd,Potato,Cabbage,Beetroot,3,"Cabbage is a leafy green or purple biennial plant,grown as an annual vegetable crop for its dense-leaved heads. Closely related to other cole crops such as broccoli,cauliflower,and brussels sprouts,it descends from a wild field cabbage."
1129,113,Vegitables,Lady's finger is good for,Diabetes,,Memory,Cancer,3,"Okra or Okro Abelmoschus esculentus,known in many English-speaking countries as ladies fingers is a flowering plant in the mallow family. It is valued for its edible green seed pods. The geographical origin of okra is disputed,with supporters of West African,Ethiopian and South Asian origins."
1130,113,Vegetables,Which country is the native of drumstick?,Russia,China,India,Australia,3,"Moringa oleifera is the most widely cultivated species of the genus Moringa,which is the only genus in the family Moringaceae.It is a fast-growing,drought-resistant tree,native to the southern foothills of the Himalayas in northwestern India,and widely cultivated in tropical and subtropical areas where its young seed pods and leaves are used as vegetables."
