1201,121,India,Which of the following has been the fastest growing state during the last seven years (2005-06 to 2001-12)?,Bihar,Gujrat,Madhya Pradesh,Tamil Nadu,1,
1202,121,India,Zoological Survey of India has it headquarter at,Kolkata,Chennai,Mumbai,Delhi,1,
1203,121,India,Which year India joined the United Nations,1945,1947,1950,1957,1,India joined on October 30th 1945. United nations is an international organization founded in 1945 to maintain peace and develop friendly relations among nations
1204,121,India,Which state in India Ajanta Caves are located,Maharashtra,Uttar Pradesh,Bihar,Tamil Nadu,1,The Ajanta Caves are located in Aurangabad district of Maharashtra state of India. It has 30 rock-cut Buddhist cave monuments which includes paintings and sculptures
1205,121,India,The first Indian elected for British Parliament (Member of Parliament),Dadabhai Naoroji,Mothilal Nehru,Mahathma Gandhi,Vallabhbhai Patel,1,In 1892 Dadabhai Naoroji was elected Liberal MP for Finsbury Central. He was from Khadak located near Mumbai.
1206,121,India,Which of the foreign banks has maximum numbers of branches in India?,Standard Charted Bank,HSBC,City Bank,ABN-Amro-Bank,1,
1207,121,India,Tata Sons tie-up with which airlines to launch a full service airlines in India?,British Airways,Emirates,Aeroflot,Singapore Airlines,4,
1208,121,India,Who among the following never held the charge of Finance Minister of India?,Manmohan Singh,Pranab Mukharjee,Murli Manohar Joshi,Jaswant Singh,3,
1209,121,India,Which one of the following rivers does not originate in India?,Sutlej,Ravi,Chenab,Beas,1,
1210,121,India,Palk Strait connects India to,Sri Lanka,Pakistan,Myanmar,None of the above,1,
