1211,122,Sports India,Which was the 1st non Test playing country to beat India in an international match?,Canada,Sri Lanka,Zimbabwe,East Africa,2,NA,
1212,122,Sports India,Which county did Ravi Shastri play for?,Glamorgan,Leicestershire,Gloucestershire,Lancashire,1,NA,
1213,122,Sports India,Who was the first Indian to win the World Amateur Billiards title?,Geet Sethi,Wilson Jones,Michael Ferreira,Manoj Kothari,2,NA,
1214,122,Sports India,Who is the first Indian woman to win an Asian Games gold in 400m run?,M.L.Valsamma,P.T.Usha,Kamaljit Sandhu,K.Malleshwari,3,NA,
1215,122,Sports India,Which is the national game of India?,Cricket,Football,Hockey,Squash,3,NA,
1216,122,Sports India,When was Amateur Athletics Federation of India established?,1936,1946,1956,1966,2,NA,
1217,122,Sports India,Who received the first Indian to receive Olympic medal after Independence,KD Jadav,Leander Paes,Karnam Malleswari,Abhinav Bindra,1,Khashaba Dadasaheb Jadhav was an Indian athlete. He is best known as a wrestler who won a bronze medal at the 1952 Summer Olympics in Helsink.  The medal which was given to Jadhav was the first to be won by any Indian.,
1218,122,Sports India,The 'Dronacharya Award' is given to...?,Coaches,Umpires,Players,None of the others,1,NA,
1219,122,Sports India,Narain Karthikenyan is the sportsman in the field of,Formula One Car Racing ,Chess,Hockey,Cricket,1,NA,
1220,122,Sports India,The National Sports Day is observed on which of the following days ?,Jan 2nd,Dec 28th,Oct 10th,Aug 29th,4,NA,
