1181,119,Trees,Which tree is the national symbol of Australia?,Oak tree,Acacia,Banyan tree,Maple tree,2,"Australia's national floral emblem is the golden wattle (Acacia pycnantha Benth.). It has been used in the design of Australian stamps and many awards in our honours system. A single wattle flower is the emblem of the Order of Australia. The golden wattle is an evergreen,spreading shrub or small tree."
1182,119,Trees,Which country have Phoenix palm as the national tree?,China,Saudi arabia,Japan,Maldives,2,"Phoenix is a genus of 14  species of palms. The diverse habitats they occupy include swamps,deserts,and mangrove sea coasts. Most Phoenix species originate in semiarid regions,but usually occur near high groundwater levels,rivers,or springs."
1183,119,Trees,Which tree produce maximum oxygen at night?,Banyan tree,Neem tree,Peepal tree,Coconut tree,3,Plants that release oxygen even at night. It is widely reported at several places that certain trees such as Peepal (Botanical name:Ficus religiosa) and Tulsi (Botanical name: Ocimum tenuiflorum) release oxygen even at night.
1184,119,Trees,Cocaine is derived from which plant?,Amla,Coca plant,Ashwagandha,Haridra,2,Cocaine is made from the leaves of the coca plant which are mostly grown in South America.
1185,119,Trees,Name the pigment that present in leaves of plant?,Xanthophyll,Anthocyanin,Chalcone,Chlorophyll,4,"Chlorophyll is a term used for several closely related green pigments found in cyanobacteria and the chloroplasts of algae and plants. Chlorophyll is an extremely important biomolecule,critical in photosynthesis,which allows plants to absorb energy from light. Chlorophyll absorbs light most strongly in the blue portion of the electromagnetic spectrum,followed by the red portion."
1186,119,Trees,What is the name of process that converts sunlight into carbon dioxide and water?,Metabolism,Pollination,Photosynthesis,Decomposition,3,"Photosynthesis is the process of converting light energy to chemical energy and storing it in the bonds of sugar. This process occurs in plants and some algae (Kingdom Protista). Plants need only light energy,CO2,and H2O to make sugar."
1187,119,Trees,''Olea europaea'' is the botanical name of which tree?,Neem tree,Lime tree,Bamboo,Olive tree,4,"The olive,known by the botanical name Olea europaea,meaning ""european olive"",is a species of small tree in the family Oleaceae,found in much of Africa,the Mediterranean."
1188,119,Trees,Medicines derived from trees are called as,Anaesthetics,Antipyretics,Alkaloids,Analgesics,3,Alkaloids are a group of naturally occurring chemical compounds that contain mostly basic nitrogen atoms. This group also includes some related compounds with neutral and even weakly acidic properties. Some synthetic compounds of similar structure are also termed alkaloids.
1189,119,Trees,What is the botanical name of neem tree?,Saraca asoca,Azadirachta indica,Ficus benghalensis,Mangifera indica,2,"Azadirachta indica,also known as Neem,Nimtree,and Indian Lilac is a tree in the mahogany family Meliaceae. It is one of two species in the genus Azadirachta,and is native to India and the Indian subcontinent including Nepal,Pakistan,Bangladesh and Sri Lanka."
1190,119,Trees,'Anacardium occidentale is the botanical name of which tree?,Mango tree,Apple tree,Cashew tree,Orange tree,3,"The cashew tree (Anacardium occidentale) is a tropical evergreen tree that produces the cashew seed and the cashew apple.It can grow as high as 14 metres (46 ft),but the dwarf cashew,growing up to 6 metres (20 ft),has proved more profitable,with earlier maturity and higher yields."
