11,2,Capitals,Which one of the following is capital of India,New Delhi,Mumbai,Chennai,Kolkatta,1,NA
12,2,Capitals,Which is the capital of United States of America,New York,Washington,Austin,San Francisco,2,NA
13,2,Capitals,The capital of China is,Beijing,Shanghai,Hong Kong,Hangzhou,1,NA
14,2,Capitals,Which one of the following is capital of Canada,Toronto,Vancouver,Montreal,Ottawa,4,NA
15,2,Capitals,Which is the capital of Australia,Sydney,Melbourne,Canberra,Adelaide,3,NA
16,2,Capitals,The capital of Russia is,Moscow,Saint Petersburg,Yekaterinburg,Veliky Novgorod,1,NA
17,2,Capitals,Which one of the following is capital of Brazil,Brasilia,Rio,Salvador,Manaus,1,NA
18,2,Capitals,Which is the capital of Argentina,Mendoza,Buenos Aires,Bariloche,Cordoba,2,NA
19,2,Capitals,The capital of Kazakhstan is,Almaty,Shymkent,Karaganda,Astana,4,NA
20,2,Capitals,Which one of the following is capital of Sudan,Port Sudan,Al-Ubayyid,Khartoum,Omdurman,3,NA
