141,15,Science,Brass gets discoloured in air because of the presence of which of the following gases in air?,Oxygen,Hydrogen sulphide,Carbon dioxide,Nitrogen,2,NA
142,15,Science,Which of the following is a non metal that remains liquid at room temperature?,Phosphorous,Bromine,Chlorine,Helium,2,NA
143,15,Science,Chlorophyll is a naturally occurring chelate compound in which central metal is,Copper,Magnesium,Iron,Calcium,1,NA
144,15,Science,Which of the following is used in pencils?,Graphite,Silicon,Charcoal,Phosphorous,1,NA
145,15,Science,Which of the following metals forms an amalgam with other metals?,Tin,Mercury,Lead,Zinc,2,NA
146,15,Science,Chemical formula for water is,NaA1O2,H2O,Al2O3,CaSiO3,2,NA
147,15,Science,The gas usually filled in the electric bulb is,Nitrogen,Hydrogen,Carbon dioxide,Oxygen,1,NA
148,15,Science,Washing soda is the common name for,Sodium carbonate,Calcium bicarbonate,Sodium bicarbonate,Calcium carbonate,1,NA
149,15,Science,Quartz crystals normally used in quartz clocks etc. is chemically,Silicon dioxide,Germanium oxide,A mixture of germanium oxide and silicon dioxide,Sodium silicate,1,NA
150,15,Science,Which of the gas is not known as green house gas?,Methane,Nitrous oxide,Carbon dioxide,Hydrogen,4,NA
